"","sum_global_health_1","sum_mental_health_1","sum_physical_health_1","sum_emotional_affliction_1","sum_cognitive_affliction_1","sum_diagnostics_1","sum_physical_activity_1","sum_alcohol_1","sum_smoking_1","sum_jenskin_1","sum_medas_1","sum_ewl_1","sum_soc_1","sum_self_1","sum_pos_relation_1","sum_autonomy_1","sum_context_1","sum_growth_1","sum_purpose_1","sum_purpose_q1","sum_growth_q1","sum_who_qol_1","sum_cognitive_reserve_1","sum_dass_1","sum_depression_1","sum_anxiety_1","sum_stress_1","sum_pittsburgh_1","sum_lubben_1","sum_godin_1","sum_dominance"
"sum_growth_q1",0.295284011998574,0.32892953246004,0.244388293798786,0.240662217803194,0.239674207969935,-0.0340525449886588,0.120429658654854,0.0323031699911851,-0.0828472120202094,-0.133913941836684,0.107980429305387,0.396119088442025,0.313485361589962,0.404581955903865,0.313324263751774,0.215805891330458,0.374845326180555,0.572263295811875,0.432365118279708,0.55912947628268,1,0.30608954528647,0.368074703635057,-0.232300205070294,-0.163905067573226,-0.244779811830045,-0.263946603022602,-0.123138445129538,0.251552967535954,0.0648797226055807,0.0422979087235052
"sum_who_qol_1",0.590467838646185,0.601271970024576,0.488979965607037,0.469777970476539,0.377224894590891,-0.162626618236966,0.223616948916675,0.0688930315617259,-0.10010093669611,-0.346152868312579,0.163224460645379,0.599711860592406,0.592955565553973,0.64406549038198,0.439638951647335,0.29040786554085,0.52575509664359,0.359345284628941,0.592477514705278,0.398002156450347,0.30608954528647,1,0.266479668202518,-0.539574752674235,-0.462984484880981,-0.542867805534717,-0.551688987355033,-0.408081630592141,0.386522643461513,0.12870994916832,-0.0261301929687891
"sum_cognitive_reserve_1",0.256052717753407,0.299392071555283,0.218206542307846,0.141959972744025,0.172833898220555,-0.0247164724592612,0.100292174523588,0.0196046022703128,-0.0725472726606111,-0.0515860811778771,0.141116432480226,0.294522231994919,0.239860717961932,0.270565227260041,0.408838348830757,0.163883156220549,0.27286949873551,0.369971784693229,0.302870329714916,0.291558432531863,0.368074703635057,0.266479668202518,1,-0.160337208983728,-0.109132250657325,-0.155701352267117,-0.203273586638353,-0.0423573625255369,0.402486348219678,0.0239774258580236,0.031599655151294
"sum_dass_1",-0.421612235262496,-0.451420669880806,-0.322134682575992,-0.572955474118542,-0.44190096498245,0.24051420428077,-0.145225077375634,-0.0506895734005582,0.0641562979810279,0.363091679577297,-0.107617426304906,-0.402994656496638,-0.595378234106068,-0.519169406608611,-0.317238151709061,-0.29350561776973,-0.470833743909476,-0.264019396156818,-0.455477996849708,-0.304346775017583,-0.232300205070294,-0.539574752674235,-0.160337208983728,1,0.957808828338314,0.977396410414663,0.944959831325848,0.437574635386197,-0.244700053985968,-0.0956045004122208,0.0270019758785435
"sum_depression_1",-0.375877505907324,-0.389847909332843,-0.290562077294327,-0.521448736106446,-0.416744538840692,0.232572253957271,-0.12822969037115,-0.0478958018983467,0.0555721153225732,0.346170261068757,-0.0974615618763945,-0.320135112603068,-0.520572538686986,-0.423144446041937,-0.250244896923659,-0.269445198131826,-0.396427078829847,-0.195783783937399,-0.355364073842632,-0.218898879339211,-0.163905067573226,-0.462984484880981,-0.109132250657325,0.957808828338314,1,0.91173004890772,0.841745644377161,0.431680677086721,-0.190287047987783,-0.0944375468741143,0.02643435194981
"sum_anxiety_1",-0.410462927435966,-0.449928406964013,-0.306736917167402,-0.57300259283627,-0.417415101892231,0.224585030834445,-0.145444338712203,-0.0444519546971583,0.054447412364299,0.353703403595018,-0.112239060222781,-0.422510383097442,-0.600602531627815,-0.529355437453528,-0.320943459378785,-0.288937114159347,-0.485223492723314,-0.277833804620157,-0.475754920026426,-0.324345066710662,-0.244779811830045,-0.542867805534717,-0.155701352267117,0.977396410414663,0.91173004890772,1,0.895525018008553,0.421507587527325,-0.251984738776437,-0.100044573875784,0.0272247698168415
"sum_stress_1",-0.432185193375785,-0.464015609035356,-0.334975533274899,-0.556241753573261,-0.443088270525618,0.23787732963188,-0.145206943951578,-0.055004703893297,0.0776202894976896,0.346403007090489,-0.09926292782982,-0.419889369011418,-0.595729719551319,-0.547434339341061,-0.347106905178201,-0.288039208264814,-0.475624969119874,-0.289654966443746,-0.484141311832423,-0.336524248430017,-0.263946603022602,-0.551688987355033,-0.203273586638353,0.944959831325848,0.841745644377161,0.895525018008553,1,0.406924895783239,-0.26532081149337,-0.0788389662426662,0.0238255036815903
"sum_pittsburgh_1",-0.356719233897357,-0.325464362591502,-0.304088361644537,-0.371517472696845,-0.311502820941602,0.210459325203284,-0.0925954085731443,-0.0398744216078739,0.0644555343631492,0.590497148264505,-0.0601753123138602,-0.242618555108104,-0.354974658415789,-0.311522986498157,-0.177537068526629,-0.169122151248185,-0.269360666075569,-0.128852653113232,-0.238979482439685,-0.165975193468386,-0.123138445129538,-0.408081630592141,-0.0423573625255369,0.437574635386197,0.431680677086721,0.421507587527325,0.406924895783239,1,-0.128534945125461,-0.0964033849994932,-0.00749296672034003
"sum_lubben_1",0.282871572448686,0.336495654074889,0.215540434495668,0.179242788005686,0.155158737937994,-0.0319591392566543,0.0878624907838489,0.0621956326811566,-0.0480291944023725,-0.106667926530842,0.0967145700247394,0.339950983897537,0.346380323528924,0.354835950945773,0.582031576659181,0.186853843122055,0.309711112055921,0.296373602308576,0.344719422141996,0.243842228247457,0.251552967535954,0.386522643461513,0.402486348219678,-0.244700053985968,-0.190287047987783,-0.251984738776437,-0.26532081149337,-0.128534945125461,1,0.0433468086845541,-0.014895980552687
"sum_godin_1",0.153069516411568,0.109380321299421,0.161782145716603,0.0971636199391658,0.0755482363066142,-0.0652825382748359,0.44774799041574,-0.0236473375143863,-0.0541661540466585,-0.113745537067453,0.110697844361247,0.117849459474762,0.0844720512645371,0.0850198042308017,0.0632271091551744,0.0701862035613588,0.107077742190711,0.0910513180157866,0.0925379246055311,0.0944525568487177,0.0648797226055807,0.12870994916832,0.0239774258580236,-0.0956045004122208,-0.0944375468741143,-0.100044573875784,-0.0788389662426662,-0.0964033849994932,0.0433468086845541,1,0.0245682095215232
"sum_dominance",-0.0182125013696163,-0.0186808869018262,-0.0082343296157555,-0.00538426038250118,-0.0105774095701526,0.00478092190025739,0.00777231182820145,-0.0229637513065845,0.00343956575022299,0.0153902272903583,0.00786564001385505,-0.0242031903176873,-0.0441254966904788,-0.0181126488219562,-0.0177901625425436,-0.0342968881620457,-0.00968837135444269,0.0542348544220376,-0.0194193380913266,0.0179246880041888,0.0422979087235052,-0.0261301929687891,0.031599655151294,0.0270019758785435,0.02643435194981,0.0272247698168415,0.0238255036815903,-0.00749296672034003,-0.014895980552687,0.0245682095215232,1
